count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
36119,W,2005,2005-09-21,7,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,7,48,1396,19,267,70,13,2,0,11,0,96,1826
36119,W,2005,2005-09-21,8,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,17,89,1678,27,281,66,12,3,19,6,4,110,2185
36119,W,2005,2005-09-21,9,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,21,106,1872,38,248,98,20,24,13,10,1,166,2430
36119,W,2005,2005-09-21,10,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,9,65,1778,39,334,107,15,18,6,5,3,154,2370
36119,W,2005,2005-09-21,11,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,5,69,1671,33,369,111,8,9,10,6,2,146,2288
36119,W,2005,2005-09-21,12,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,68,71,1627,26,411,97,11,23,12,4,1,148,2283
36119,W,2005,2005-09-21,13,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,11,69,1525,44,276,71,7,13,8,6,1,106,2020
36119,W,2005,2005-09-21,14,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,2,18,1570,19,231,60,6,4,0,9,0,79,1917
36119,W,2005,2005-09-21,15,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,13,71,2083,26,543,54,4,8,0,2,0,68,2791
36119,W,2005,2005-09-21,16,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,15,67,2739,30,596,58,3,8,1,3,0,73,3505
36119,W,2005,2005-09-21,17,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,30,217,2932,31,430,30,1,6,0,6,0,43,3653
36119,W,2005,2005-09-21,18,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,33,362,3242,52,327,36,2,8,0,3,0,49,4032
74540,N,2005,2005-06-23,7,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,70,947,15,208,36,4,7,1,5,1,54,1294
74540,N,2005,2005-06-23,8,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,170,1214,23,191,60,6,15,5,0,3,89,1687
74540,N,2005,2005-06-23,9,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,2,127,1167,19,198,107,8,13,7,4,5,144,1655
74540,N,2005,2005-06-23,10,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,87,1057,27,282,119,9,10,12,2,4,156,1609
74540,N,2005,2005-06-23,11,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,50,983,16,315,82,17,18,1,7,2,127,1491
74540,N,2005,2005-06-23,12,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,56,939,21,331,76,10,11,3,4,5,109,1456
74540,N,2005,2005-06-23,13,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,38,967,14,254,108,9,8,5,7,6,143,1416
74540,N,2005,2005-06-23,14,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,58,1032,27,307,123,7,12,9,8,1,160,1584
74540,N,2005,2005-06-23,15,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,66,1081,23,352,77,2,11,5,5,2,102,1624
74540,S,2005,2005-06-23,16,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,82,1135,13,258,2,1,2,3,1,1,10,1498
74540,S,2005,2005-06-23,17,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,80,1130,10,245,1,1,2,0,1,0,5,1470
74540,S,2005,2005-06-23,18,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,1,75,1100,11,235,1,2,1,1,0,0,5,1426
74540,N,2005,2005-06-23,16,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,58,1137,26,323,43,4,5,4,3,2,61,1605
74540,N,2005,2005-06-23,17,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,95,1249,27,238,42,6,1,2,1,0,52,1661
74540,N,2005,2005-06-23,18,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,81,1237,23,204,38,3,4,2,4,1,52,1597
74540,S,2005,2005-06-23,7,6,London,146,"Hammersmith and Fulham",A3220,Major,"LA Boundary","LA Boundary",523700,180400,51.50900007,-0.21893570,0.40,0.25,0,43,1020,12,325,35,4,8,2,1,1,51,1451
